Id,EsSalida,X,Y,River,Reach,River Stat,Node Name,NomBBDD,nombre,unid,series_id,cero_escala,S_id_geom,S_id_hidro,x2,y2
35,1,5647056.22,6211765.39,Mini, Desembocadura,0,Mini,Mini,Salida_Mini,9996,,0,29679,6067,,
36,1,5638202.7,6195533.4,CanaldelEste, Desembocadura,0,CanaldelEste,CanaldelEste,Salida_CanaldelEste,9997,,0,29680,6062,,
37,1,5637065.35,6190789.56,SanAntonio, Desembocadura,0,SanAntonio,SanAntonio,Salida_SanAntonio,9998,,0,29681,6069,,
38,1,5635492.34,6188130.59,Lujan, Desembocadura,0,Lujan,Lujan,Salida_Lujan,9999,,0,29682,6066,,
39,0,5433604.152,6498710.392,,,,SantaFe,,SantaFe,30,30,8.378,,,,
40,0,5591276.861,6226905.979,,,,Zarate,,Zarate,40,,0.243,,,,
41,0,5559152.887,6324356.567,,,,Puerto Ruiz,,Puerto Ruiz,46,,0.898,,,,
42,0,5647794.146,6235301.581,,,,Guazucito,,Guazucito,48,,0.447,,,,
43,0,5633279.182,6189283.123,,,,SanFernando,,SanFernando,52,52,-0.53,,,,
44,0,5646845.591,6175022.263,,,,BsAs,,BsAs,85,85,0,,,,
45,0,5643753.913,6228867.221,,,,Borches,,Borches,1257,,0.682,,,,
46,0,5631608.634,6275331.305,,,,Martinez,,Martinez,1696,3278,0,,,,
47,0,5626038.228,6197529.358,,,,Carapachay,,Carapachay,1698,,-1.459,,,,
48,0,5645994.94,6250663.454,,,,Nueva Palmira,,Nueva Palmira,1699,3280,0.0275,,,,
49,0,5647547.114,6340344.689,,,,Boca Guale,,Boca Guale,1700,,,,,,
50,0,5576102.863,6265144.112,,,,Ibicuy,,Ibicuy,1716,,1.147,,,,
51,0,5533278.708,6273153.606,,,,San Pedro,,San Pedro,1718,,0.899,,,,
52,0,5500232.366,6296348.146,,,,Ramallo,,Ramallo,1719,,1.507,,,,
53,0,5479692.55,6313307.375,,,,San Nicolas,,San Nicolas,1720,,1.95,,,,
54,0,5470041.174,6324063.211,,,,Villa Constituci,,Villa Constituci,1721,,2.128,,,,
55,0,5451132.27,6490957.172,,,,Parana_2,,Parana_2,1724,,0,,,,
56,0,5657749.075,6335747.648,,,,Fray Bentos,,Fray Bentos,2235,,,,,,
57,0,5450951.459,6491075.871,,,,Rio Parana Tunel,,Rio Parana Tunel,2356,,0,,,,
58,0,5601764.819,6250731.902,,,,Guazu BLargo,,Guazu BLargo,2830,,0,,,,
59,0,5689886.795,6524411.505,,,,Concordia,,Concordia,,,,,,,
60,0,5689984.783,6162697.564,,,,Pilote Norden,,Pilote Norden,,,,,,,
